total new date
77865 -87 20150920
77868 3 20150921
79443 1575 20150930
80153 710 20151001
80205 52 20151002
80524 319 20151003
80896 372 20151004
81588 692 20151005
81934 346 20151006
82519 585 20151007
83230 711 20151008
83385 155 20151009
84098 713 20151010
84592 494 20151011
83476 -1116 20151012
88421 4945 20151014
88838 417 20151015
89283 445 20151024
89731 448 20151025
90173 442 20151026
90385 212 20151027
90524 139 20151028
91323 799 20151029
91653 330 20151030
92692 1039 20151031
93505 813 20151101
92426 -1079 20151102
89098 -3328 20151103
89470 372 20151112
89945 475 20151114
90259 314 20151122
90405 146 20151123
90547 142 20151126
90921 374 20151127
91329 408 20151128
91701 372 20151129
91820 119 20151130
92376 556 20151202
92697 321 20151204
93244 547 20151205
93904 660 20151206
93765 -139 20151208
93212 -553 20151209
94075 863 20151210
94792 717 20151213
97508 2716 20151214
97653 145 20151215
97899 246 20151216
98708 809 20151217
99039 331 20151219
99991 952 20151220
100027 36 20151221
100115 88 20151222
99764 -351 20151223
100524 760 20151226
101037 513 20151230
97204 -3833 20160104
97717 513 20160105
98412 695 20160107
98942 530 20160108
86485 -12457 20160111
87057 572 20160112
87273 216 20160113
87376 103 20160116
89036 1660 20160117
89562 526 20160118
89472 -90 20160119
89605 133 20160120
89599 -6 20160121
90336 737 20160128
90663 327 20160131
91040 377 20160201
89742 -1298 20160202
90075 333 20160203
90371 296 20160204
90409 38 20160205
90588 179 20160206
90893 305 20160207
91266 373 20160210
91169 -97 20160211
90485 -684 20160216
90672 187 20160227
90831 159 20160228
90448 -383 20160229
90509 61 20160301
91022 513 20160302
91529 507 20160303
91119 -410 20160304
90664 -455 20160305
91408 744 20160307
92619 1211 20160308
93013 394 20160309
93432 419 20160310
92188 -1244 20160312
92511 323 20160313
92608 97 20160315
92675 67 20160316
93151 476 20160317
93436 285 20160320
93912 476 20160321
94024 112 20160322
94226 202 20160324
94466 240 20160325
94712 246 20160326
87014 -7698 20160327
83629 -3385 20160328
95133 11504 20160329
95292 159 20160330
95600 308 20160421
96052 452 20160427
96115 63 20160428
96167 52 20160429
96944 777 20160502
96951 7 20160503
97309 358 20160510
97590 281 20160511
97712 122 20160512
97518 -194 20160518
96454 -1064 20160522
96453 -1 20160523
96776 323 20160524
96767 -9 20160526
96971 204 20160601
96575 -396 20160603
96571 -4 20160613
95361 -1210 20160614
95298 -63 20160615
94973 -325 20160616
94823 -150 20160617
82790 -12033 20160620
82361 -429 20160621
82154 -207 20160622
82150 -4 20160623
81563 -587 20160624
80835 -728 20160625
81023 188 20160626
80609 -414 20160628
79961 -648 20160709
79339 -622 20160710
79560 221 20160711
79562 2 20160712
79479 -83 20160713
